mass,luminosity,pressure,radius,temperature,opacity,density,energy_generation_rate,radiative_grad,adiabatic_grad,actual_grad,transport
3.978e+25,1.5512521006772356e+28,1.6560117635486122e+17,53771427.40125894,20013806.517671507,0.734521920362244,61.082823976819824,389.9334056760366,1.166050292623654,0.4,0.4,convectiv
3.979193479575916e+29,1.5250506440216706e+32,1.649068037492232e+17,1158144520.9318311,19980196.37473645,0.7357949721627529,60.929397902146306,378.8159791954422,1.1508954633620918,0.4,0.4,convectiv
7.95798915915183e+29,3.018904227389718e+32,1.6449722536975834e+17,1459927547.135375,19960331.4849771,0.7365499516904365,60.83877683443357,372.38266010125966,1.142052489349845,0.4,0.4,convectiv
1.1936784838727746e+30,4.489885648348013e+32,1.641588111683611e+17,1670970598.4458723,19943894.462911278,0.7371168075636598,60.76383639988214,367.14330510171493,1.134641973207853,0.4,0.4,convectiv
1.5915580518303663e+30,5.941189087253195e+32,1.6385098110070634e+17,1840140359.4806573,19928926.740606423,0.7375862781593564,60.695610081186814,362.43728869727886,1.1280475599553823,0.4,0.4,convectiv
1.9894376197879579e+30,7.374639793332937e+32,1.6357105422401776e+17,1982396001.2255268,19915300.08927917,0.7380145204306665,60.63352641089318,358.20622673450015,1.1219789632703776,0.4,0.4,convectiv
2.3873171877455494e+30,8.791924523080644e+32,1.6330897375403274e+17,2107162268.4909756,19902529.618552495,0.7384165578444497,60.575361635077414,354.28655248736504,1.116355392752181,0.4,0.4,convectiv
2.785196755703141e+30,1.0194269474484851e+33,1.6305886424573584e+17,2219281558.1703234,19890332.260605395,0.738801162574371,60.51981464036286,350.5834383214073,1.111103071613488,0.4,0.4,convectiv
3.183076323660732e+30,1.1582375995505983e+33,1.628205935228401e+17,2321167355.6276555,19878702.00979066,0.7391684629469857,60.46686438377166,347.08915743322837,1.1061182641875322,0.4,0.4,convectiv
3.5809558916183235e+30,1.2956885702947618e+33,1.625933730315265e+17,2414567758.908824,19867601.062864847,0.7395195905045394,60.41634240052402,343.78699367390413,1.1013433767481673,0.4,0.4,convectiv
3.9788354595759153e+30,1.431842605040879e+33,1.6237615180651664e+17,2500989318.0532265,19856978.930134263,0.7398560818777652,60.368020192430095,340.65725885274253,1.0967468151157818,0.4,0.4,convectiv
4.376715027533507e+30,1.566761032828398e+33,1.6216761647107258e+17,2581697035.0938063,19846772.435454972,0.7401798799127608,60.32160901195949,337.6773860927847,1.0923118070774709,0.4,0.4,convectiv
4.7745945954910984e+30,1.700503766376313e+33,1.6196619123699683e+17,2657714364.057053,19836905.71623279,0.7404933346591457,60.27675967337442,334.822008052614,1.0880308022686,0.4,0.4,convectiv
5.17247416344869e+30,1.8331293020831633e+33,1.617700379046325e+17,2729823210.9630017,19827290.22342329,0.7407992042875766,60.23306237779308,332.0630275791858,1.083902447917068,0.4,0.4,convectiv
5.570353731406283e+30,1.964694605008085e+33,1.615770662476207e+17,2798564125.2151294,19817825.22309493,0.741100640213038,60.190048876007616,329.3698317324738,1.079929727993091,0.4,0.4,convectiv
5.968233299363874e+30,2.0952286443464503e+33,1.6138723521941283e+17,2864290039.7734466,19808508.91600569,0.7413976845953828,60.14771132936452,326.74067407254256,1.0760914604449432,0.4,0.4,convectiv
6.366112867321465e+30,2.2247437007967515e+33,1.6120144775202883e+17,2927254174.060701,19799385.004620723,0.7416889461015603,60.10625519839153,324.1865807324495,1.0723582096542548,0.4,0.4,convectiv
6.763992435279056e+30,2.3532623462357798e+33,1.6101955567789386e+17,2987670377.994816,19790446.406588316,0.7419746338018298,60.06564923298529,321.70414748660784,1.0687173014380382,0.4,0.4,convectiv
7.161872003236648e+30,2.4808068576079103e+33,1.608414046882776e+17,3045739990.7970805,19781685.74249266,0.7422549670441952,60.02586063047576,319.28999484154417,1.0651590539174345,0.4,0.4,convectiv
7.55975157119424e+30,2.607399216925101e+33,1.606668343332945e+17,3101651840.9921546,19773095.335853856,0.7425301754540905,59.986855035191255,316.9407657242343,1.0616759943314624,0.4,0.4,convectiv
7.957631139151831e+30,2.733061111266893e+33,1.6049567802190352e+17,3155582246.4080663,19764667.213127896,0.7428004989336199,59.94859653816082,314.6531232396969,1.0582623107599127,0.4,0.4,convectiv
8.355510707109423e+30,2.857813932780413e+33,1.6032776302190832e+17,3207695014.176211,19756393.103706688,0.7430661876605548,59.91104767691519,312.42374851111606,1.0549134604608503,0.4,0.4,convectiv
8.753390275067015e+30,2.9816787786803686e+33,1.6016291045995722e+17,3258141440.731354,19748264.43991803,0.7433275020872812,59.8741694353452,310.2493386159178,1.0516258849987747,0.4,0.4,convectiv
9.151269843024606e+30,3.1046764512490517e+33,1.6000093532154307e+17,3307060311.8116293,19740272.357025634,0.7435847129398895,59.837921243575,308.12660463135944,1.0483967996693877,0.4,0.4,convectiv
9.549149410982198e+30,3.2268274578363396e+33,1.5984164645100346e+17,3354577902.458538,19732407.693229113,0.7438381012176234,59.802260977805695,306.0522698033038,1.0452240355582363,0.4,0.4,convectiv
9.947028978939789e+30,3.34815201085969e+33,1.5968484655152054e+17,3400807977.0169516,19724660.98966398,0.7440879581928869,59.76714496008295,304.0230678520874,1.0421059195024418,0.4,0.4,convectiv
1.034490854689738e+31,3.468670027804147e+33,1.5953033218512115e+17,3445851789.135109,19717022.490401655,0.744334585412034,59.73252795794071,302.03574142957257,1.0390411817572465,0.4,0.4,convectiv
